Timestamp,Serial Number,Name,Mode,Alarm,rH,Temp
2023-01-30 14:51:39,1092,Leads Film,STATE,RESET,0.6,14.1,
2023-01-30 09:31:18,1092,Leads Film,STATE,RESET,0.5,9.9,
2023-01-30 04:11:30,1092,Leads Film,STATE,RESET,0.6,9.9,
2023-01-29 22:51:43,1092,Leads Film,STATE,RESET,0.6,9.9,
2023-01-28 20:12:30,1092,Leads Film,STATE,RESET,0.7,10.6,
2023-01-28 14:52:28,1092,Leads Film,STATE,RESET,0.7,11.7,
2023-01-28 09:32:28,1092,Leads Film,STATE,RESET,0.7,11.3,
2023-01-28 04:12:27,1092,Leads Film,STATE,RESET,0.9,12,
2023-01-27 22:52:18,1092,Leads Film,STATE,RESET,0.9,13.1,
2023-01-27 17:32:01,1092,Leads Film,STATE,RESET,0.9,14.1,
2023-01-27 12:11:29,1092,Leads Film,STATE,RESET,0.7,15.5,
2023-01-27 06:51:06,1092,Leads Film,STATE,RESET,1,13.4,
2023-01-27 01:30:44,1092,Leads Film,STATE,RESET,1,14.5,
2023-01-26 20:10:07,1092,Leads Film,STATE,RESET,0.9,15.5,
2023-01-26 14:49:18,1092,Leads Film,STATE,RESET,0.9,16.9,
2023-01-26 09:28:29,1092,Leads Film,STATE,RESET,0.8,16.6,
2023-01-26 04:07:50,1092,Leads Film,STATE,RESET,0.9,15.5,
2023-01-25 22:47:11,1092,Leads Film,STATE,RESET,0.9,16.9,
2023-01-25 17:26:30,1092,Leads Film,STATE,RESET,0.9,15.9,
2023-01-25 12:05:49,1092,Leads Film,STATE,RESET,0.9,16.9,
2023-01-25 06:45:09,1092,Leads Film,STATE,RESET,0.9,16.2,
2023-01-25 01:24:24,1092,Leads Film,STATE,RESET,0.9,15.5,
2023-01-24 20:03:44,1092,Leads Film,STATE,RESET,0.8,16.6,
2023-01-24 14:43:09,1092,Leads Film,STATE,RESET,0.8,15.9,
2023-01-24 09:22:33,1092,Leads Film,STATE,RESET,0.8,16.6,
2023-01-24 04:01:58,1092,Leads Film,STATE,RESET,0.8,15.9,
2023-01-23 22:41:24,1092,Leads Film,STATE,RESET,0.6,14.5,
2023-01-23 17:21:19,1092,Leads Film,STATE,RESET,0.4,10.3,
2023-01-23 12:01:49,1092,Leads Film,STATE,RESET,0.3,7.1,
2023-01-23 06:42:34,1092,Leads Film,STATE,RESET,0.4,6.8,
2023-01-23 01:23:16,1092,Leads Film,STATE,RESET,0.5,7.5,
2023-01-22 20:03:49,1092,Leads Film,STATE,RESET,0.6,8.2,
2023-01-22 14:44:17,1092,Leads Film,STATE,RESET,0.4,9.9,
2023-01-22 09:24:37,1092,Leads Film,STATE,RESET,0.4,7.1,
2023-01-22 04:05:11,1092,Leads Film,STATE,RESET,0.5,7.5,
2023-01-21 22:45:46,1092,Leads Film,STATE,RESET,0.5,8.2,
2023-01-21 17:26:10,1092,Leads Film,STATE,RESET,0.5,9.2,
2023-01-21 12:06:21,1092,Leads Film,STATE,RESET,0.4,11.3,
2023-01-21 06:47:00,1092,Leads Film,STATE,RESET,0.5,6.8,
2023-01-21 01:27:42,1092,Leads Film,STATE,RESET,0.5,7.1,
2023-01-20 20:08:21,1092,Leads Film,STATE,RESET,0.5,7.5,
2023-01-20 14:48:52,1092,Leads Film,STATE,RESET,0.4,8.9,
2023-01-20 09:29:24,1092,Leads Film,STATE,RESET,0.3,6.4,
2023-01-20 04:10:12,1092,Leads Film,STATE,RESET,0.5,6.4,
2023-01-19 22:50:58,1092,Leads Film,STATE,RESET,0.5,6.8,
2023-01-19 17:31:33,1092,Leads Film,STATE,RESET,0.4,7.8,
2023-01-19 12:11:58,1092,Leads Film,STATE,RESET,0.4,10.6,
2023-01-19 06:52:43,1092,Leads Film,STATE,RESET,0.4,5.7,
2023-01-19 01:33:33,1092,Leads Film,STATE,RESET,0.5,6.4,
2023-01-18 20:14:20,1092,Leads Film,STATE,RESET,0.5,6.8,
2023-01-18 14:55:04,1092,Leads Film,STATE,RESET,0.3,7.8,
2023-01-18 09:35:45,1092,Leads Film,STATE,RESET,0.4,6.4,
2023-01-18 04:16:33,1092,Leads Film,STATE,RESET,0.4,6.8,
2023-01-17 22:57:14,1092,Leads Film,STATE,RESET,0.6,7.8,
2023-01-17 17:37:50,1092,Leads Film,STATE,RESET,0.5,8.9,
2023-01-17 12:18:10,1092,Leads Film,STATE,RESET,0.5,11.7,
2023-01-17 06:58:37,1092,Leads Film,STATE,RESET,0.5,8.2,
2023-01-17 01:39:04,1092,Leads Film,STATE,RESET,0.6,8.9,
2023-01-16 20:19:23,1092,Leads Film,STATE,RESET,0.7,9.9,
2023-01-16 14:59:31,1092,Leads Film,STATE,RESET,0.6,10.6,
2023-01-16 09:39:48,1092,Leads Film,STATE,RESET,0.5,9.2,
2023-01-16 04:20:10,1092,Leads Film,STATE,RESET,0.8,9.6,
2023-01-15 23:00:32,1092,Leads Film,STATE,RESET,0.7,9.9,
2023-01-15 17:40:50,1092,Leads Film,STATE,RESET,0.7,10.6,
2023-01-15 12:20:59,1092,Leads Film,STATE,RESET,0.6,11,
2023-01-15 07:01:14,1092,Leads Film,STATE,RESET,0.6,9.6,
2023-01-15 01:41:26,1092,Leads Film,STATE,RESET,0.7,10.6,
2023-01-14 20:21:34,1092,Leads Film,STATE,RESET,0.9,11,
2023-01-14 15:01:38,1092,Leads Film,STATE,RESET,0.7,11.7,
2023-01-14 09:41:45,1092,Leads Film,STATE,RESET,0.8,11,
2023-01-14 04:21:52,1092,Leads Film,STATE,RESET,0.8,11,
2023-01-13 23:01:52,1092,Leads Film,STATE,RESET,0.8,11.3,
